nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
Oa1964,136.74999999999997,79.25052989886143,640.4662802142358,3.2798480110050994,0.33881779402803175,4.4901665686222065,135.5567224448865,136.04698343917275,18.524513141581313,35.63080656576227,79.25052989886143,200.05302749983179,637.1864322032307,18508.78170289855,164.42222093406951,82.21111046703476,0.9912740215348192,1.2725183022446456,0.2596825669937039,real
Oa1967,186.75000000000003,153.14375917943838,688.8137220191788,2.25,0.2338241856314145,3.56725946511834,164.37799426930604,165.00900616446552,29.44128899642695,63.650715383248524,153.14375917943838,277.7857860936975,686.5637220191788,27227.97211538462,214.13507071044896,107.06753535522448,0.8802034499025757,0.6133346675134034,0.2578850487841785,real
Oa2092,157.49999999999997,125.13574119010212,843.5399603440884,2.4801222208678038,0.2835978835978836,3.9547097030231786,143.71934455736988,144.25863104708483,27.023008404488152,47.42619519356998,125.13574119010212,218.21034103889832,841.0598381232206,20810.55263157895,170.78414584532834,85.39207292266417,0.912503774967428,0.6755720792404258,0.25980622002455134,real
Oa1813,169.5,112.42703794516409,682.4265579825187,1.0,0.232055063913471,3.4211466425038823,163.57032126886585,164.26785245576005,25.161773194059162,47.848061547439194,112.42703794516409,229.78508544436295,681.4265579825187,26983.927350427348,181.93702389692376,90.96851194846188,0.9650166446540759,1.0467601019323651,0.21129812917295215,real
Oa1844,176.75,103.36531655634356,944.2167020848226,0.6275564474005307,0.24705327675624705,3.8537691432812236,194.5228135720846,195.26954496876283,12.750191289354994,39.28748294457735,103.36531655634356,242.92412960094032,943.5891456374221,38130.195192307685,203.63664665636298,101.81832332818149,1.1005534006907192,1.1317646824462906,0.2306801339835581,real
Oa1861,160.75000000000006,128.53423771638683,787.8013189472966,1.0637952356108822,0.2716433385173664,3.913764227759209,154.9423279804457,155.53711837470726,23.06407983427658,38.69822891446603,128.53423771638683,235.49099765334762,786.7375237116858,24191.795192307698,196.7927687388816,98.3963843694408,0.9638714026777334,0.6237629711039125,0.3123543777807693,real
Oa1886,177.4999999999999,116.78436938449464,1057.5579579910652,10.883757469029947,0.25164319248826306,3.8276481891736904,192.47142645078512,193.1936482244841,28.050076916539854,36.724390597288895,116.78436938449464,251.73315823347437,1046.6742005220353,37323.78571428571,215.00876763618547,107.50438381809273,1.0843460645114662,0.9463580917196073,0.298091930201324,real
Oa1959,132.5,106.61066837068823,642.966398863103,0.8283399406928914,0.32704402515723274,4.181634501306392,118.45779839250768,118.91605077441372,27.81617614247699,42.63928071572364,106.61066837068823,203.09284783706858,642.1380589224101,14141.027131782941,160.45356712134492,80.22678356067246,0.8940211199434542,0.6556596183780478,0.33327451712012296,real
Oa1962,185.75000000000006,107.87682707803029,1050.995189503537,0.5240332347260358,0.256617317182593,4.080885519870298,210.3066213888664,211.04583850600852,19.600417758270808,39.16014199041195,107.87682707803029,247.67617453140528,1050.471156268811,44540.34595070423,208.51603254099334,104.25801627049667,1.1322025377597111,1.1108519419078884,0.2291538378648166,real
Oa2001,165.74999999999997,101.07298014917198,1069.4278672256094,2.25,0.2714932126696833,4.012361857962728,192.27941907546943,192.99554602006256,30.791268017879762,46.34873176723824,101.07298014917198,212.6155562131799,1067.1778672256094,37247.280783582086,166.26682444594167,83.13341222297083,1.160056827001324,1.0091098698208933,0.22488209712217333,real
Oa2086,146.49999999999986,96.84779130242774,896.1053043564574,0.549224594160842,0.2957906712172927,4.011132291890908,147.67616598490082,148.24744922443142,31.102331551194027,51.990639813017985,96.84779130242774,204.753018034984,895.5560797622966,21977.30620155037,152.762378221966,76.381189110983,1.0080284367570032,1.0086707296284119,0.2554616306756129,real
Oa2150,149.0000000000001,118.09616636972187,791.4150593762267,1.1740978390697596,0.2953020134228186,4.026786823280799,142.765542061101,143.3094127622451,25.9414337918955,46.253245632088365,118.09616636972187,181.55910462646824,790.240961537157,20537.58778625954,135.3058589943799,67.65292949718994,0.9581580004100732,0.6493969031487719,0.19948408383258714,real
Oa2164,109.5,79.06427043136338,478.64481579681785,0.13843667876859175,0.4079147640791476,4.789879562536117,103.27269726311982,103.66021343613015,18.771312986151745,33.625978548728014,79.06427043136338,159.31540269922925,478.50637911804927,10745.43984962406,125.68942415050124,62.84471207525062,0.9431296553709573,0.8841367672742771,0.26651754489242613,real
